Date,Close/Last,Volume,Open,High,Low
12/11/2020,49.97,199,50.34,50.03,49.88
12/10/2020,50.25,"30,075",48.98,51.07,48.86
12/09/2020,48.86,"14,021",48.83,49.54,48.38
12/08/2020,48.84,"25,625",48.68,49,48.11
12/07/2020,48.79,206,49.23,48.76,48.6
12/04/2020,49.25,25,48.82,49.08,49.05
12/03/2020,48.71,44,48.08,48.82,48.71
12/02/2020,48.25,"34,530",47.14,48.52,47.79
12/01/2020,47.42,"31,369",47.7,48.3,46.89
11/30/2020,47.59,303,47.75,47.95,46.85
11/27/2020,48.18,"11,298",48.9,49.07,47.36
11/25/2020,48.61,"10,311",47.86,49.05,47.6
11/24/2020,47.86,233,45.84,47.93,47.72
11/23/2020,46.06,"29,627",45.13,45.9,45.77
11/20/2020,44.96,314,44.22,45.17,45.01
11/19/2020,44.2,"25,080",44.16,44.42,44.19
11/18/2020,44.34,"27,952",43.78,44.3,44.13
11/17/2020,43.75,"13,303",43.9,44.23,43.08
11/16/2020,43.82,232,42.73,44.01,43.84
11/13/2020,42.78,"33,729",43.33,43.34,42.63
11/12/2020,43.53,"36,004",43.78,44.48,43.28
11/11/2020,43.8,"2,624",43.96,44.32,43.65
11/10/2020,43.61,"41,318",42.13,44.07,43.54
11/09/2020,42.4,262,39.7,42.36,41.98
11/06/2020,39.45,"32,655",40.77,40.78,39.33
11/05/2020,40.93,"30,612",41.17,40.75,40.63
11/04/2020,41.23,177,40.15,41.25,41.04
11/03/2020,39.71,268,39.22,40.22,39.86
11/02/2020,38.97,"1,044",37.42,39.34,39.1
10/30/2020,37.46,103,37.62,37.49,37.32
10/29/2020,37.65,140,39.32,37.84,37.56
10/28/2020,39.12,"19,846",40.71,39.31,38.74
10/27/2020,41.2,"11,302",40.52,41.47,40.4
10/26/2020,40.46,"14,413",41.63,41.63,40.22
10/23/2020,41.77,"1,964",42.44,41.93,41.61
10/22/2020,42.46,"27,628",41.72,42.79,41.47
10/21/2020,41.73,"29,817",42.82,43.04,41.46
10/20/2020,43.16,187,42.43,43,42.67
10/19/2020,42.62,"13,901",42.74,43.22,42.37
10/16/2020,42.93,"4,615",43.04,43.08,42.79
10/15/2020,43.16,"38,997",43.41,43.23,43.14
10/14/2020,43.32,375,42.42,43.43,43.28
10/13/2020,42.45,136,41.83,42.51,42.4
10/12/2020,41.72,120,42.69,41.82,41.67
10/09/2020,42.85,"25,076",43.41,43.56,42.61
10/08/2020,43.34,"13,763",42.06,43.47,41.86
10/07/2020,41.99,"1,009",41.94,42.18,41.92
10/06/2020,42.65,674,41.52,42.35,41.9
10/05/2020,41.29,"29,029",39.22,41.78,39.21
10/02/2020,39.27,200,40.79,39.24,39.05
10/01/2020,40.93,"34,234",42.02,42.56,39.92
09/30/2020,40.95,517,40.75,40.97,40.95
09/29/2020,41.03,"1,486",42.43,42.52,40.44
09/28/2020,42.43,"9,946",41.85,42.62,41.48
09/25/2020,41.92,869,41.93,42.01,41.69
09/24/2020,41.94,21,41.5,41.8,41.76
09/23/2020,41.77,"22,741",41.74,42.61,41.4
09/22/2020,41.72,"19,199",41.79,42.19,41.21
09/21/2020,41.44,219,43.02,41.82,41.63
09/18/2020,43.15,"25,486",43.26,43.22,42.69
09/17/2020,43.3,"15,583",42.26,43.51,41.52
09/16/2020,42.22,521,40.75,42.44,42.22
09/15/2020,40.53,237,39.66,40.73,40.51
09/14/2020,39.61,"21,703",39.77,40.09,39.31
09/11/2020,39.83,174,39.95,39.96,39.73
09/10/2020,40.06,"23,542",40.64,40.95,39.72
09/09/2020,40.79,"29,656",39.8,41.2,39.28
09/08/2020,39.78,"51,439",42.22,42.45,39.3
09/04/2020,42.66,"31,984",43.87,43.56,42.3
09/03/2020,44.07,"30,093",44.37,44.61,43.16
09/02/2020,44.43,"3,716",45.85,44.76,44.2
09/01/2020,45.58,"19,319",45.57,46.22,45.47
08/31/2020,45.28,"9,734",45.71,46.51,45.22
08/28/2020,45.81,"20,728",45.56,45.91,45.34
08/27/2020,45.09,"1,732",45.62,45.82,44.56
08/26/2020,45.64,"14,949",45.98,46.09,45.55
08/25/2020,45.86,"8,995",44.99,46.04,44.99
08/24/2020,45.13,"8,849",44.42,45.17,44.28
08/21/2020,44.35,"11,262",44.91,45.12,43.6
08/20/2020,44.9,196,45.27,44.95,44.87
08/19/2020,45.37,"3,395",45.04,45.49,45
08/18/2020,45.46,"16,452",45.38,45.54,44.77
08/17/2020,45.37,"18,063",44.96,45.42,44.5
08/14/2020,44.8,"16,242",45.05,45.42,44.48
08/13/2020,44.96,"1,201",45.43,45.11,44.86
08/12/2020,45.43,"7,356",44.58,45.62,44.51
08/11/2020,44.5,"10,079",44.99,45.78,44.41
08/10/2020,44.99,"7,180",44.61,45.26,44.4
08/07/2020,44.4,"10,675",45.12,45.25,44.26
08/06/2020,45.09,"1,254",45.24,45.32,44.98
08/05/2020,45.17,"2,350",44.4,45.36,45.02
08/04/2020,44.43,"13,942",43.91,44.82,43.24
08/03/2020,44.15,"26,437",43.55,44.45,42.89
07/31/2020,43.3,237,43.32,43.52,43.07
07/30/2020,42.94,"2,247",43.8,43.82,41.38
07/29/2020,43.75,69,43.3,43.81,43.74
07/28/2020,43.22,83,43.62,43.31,43.13
07/27/2020,43.41,"10,952",43.4,43.77,42.38
07/24/2020,43.34,"10,777",43.36,43.9,42.8
07/23/2020,43.31,"23,096",44.35,44.77,43.13
07/22/2020,44.29,"18,937",43.9,44.4,43.62
07/21/2020,44.32,"21,970",43.18,44.88,43.12
07/20/2020,43.28,"9,989",43.09,43.43,42.37
07/17/2020,43.14,"18,132",43.34,43.46,42.63
07/16/2020,43.37,"19,425",43.64,43.81,43.14
07/15/2020,43.79,"23,042",43.15,43.84,42.7
07/14/2020,42.9,"21,126",42.81,43.09,42.73
07/13/2020,42.72,"22,131",43.11,43.33,42.19
07/10/2020,43.24,"23,554",42.4,43.41,41.32
07/09/2020,42.35,"22,614",43.38,43.5,41.93
07/08/2020,43.29,"18,646",42.96,43.46,42.78
07/07/2020,43.08,"18,215",43.15,43.45,42.46
07/06/2020,43.1,"9,946",42.75,43.71,42.75
07/02/2020,43.14,"21,131",42.02,43.22,41.75
07/01/2020,42.03,"26,437",41.96,42.17,41.82
06/30/2020,41.15,683,41.25,41.26,41.09
06/29/2020,41.71,"6,664",40.31,41.94,40.06
06/26/2020,41.02,"11,661",41.47,41.78,40.29
06/25/2020,41.05,"27,368",40.43,41.64,39.47
06/24/2020,40.31,"27,324",42.33,42.89,39.62
06/23/2020,42.63,"25,464",43.17,43.93,42.21
06/22/2020,43.08,"23,634",41.55,43.17,41.51
06/19/2020,42.19,"32,728",41.42,42.93,41.01
06/18/2020,41.51,"27,616",40.58,41.64,40.05
06/17/2020,40.71,"27,916",40.71,41.45,40.03
06/16/2020,40.96,"30,469",39.77,41.66,38.97
06/15/2020,39.72,"29,251",38.69,39.88,37.24
06/12/2020,38.73,"27,754",38.38,39.44,37
06/11/2020,38.55,"35,513",41.31,38.92,37.83
