name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2023-10-10,33.1,21.8,26.8,38.2,21.8,29,23.7,84.5,0.037,100,4.17,rain,0,0,10.8,11.2,230,1012.9,65.8,10.4,278.5,24.1,10,60,2023-10-10T06:08:00,2023-10-10T18:08:22,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-11,30.1,22.3,26,37.6,22.3,28,24,89.3,2.889,100,4.17,rain,0,0,10.1,11.2,243.6,1012.4,79.9,9.3,126.1,11,9,30,2023-10-11T06:07:55,2023-10-11T18:07:55,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-12,28.1,22.1,24.8,32.1,22.1,25.3,22.8,89,0.516,100,4.17,rain,0,0,13,25.9,343.3,1013,77.7,11,160,13.8,8,30,2023-10-12T06:07:50,2023-10-12T18:07:29,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-13,32.1,20.9,26.1,38,20.9,28.2,22.9,84,0.442,100,4.17,rain,0,0,10.4,18.4,93,1012.7,67.3,9.1,190,16.3,9,60,2023-10-13T06:07:46,2023-10-13T18:07:03,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-14,32.2,22,26.4,39.3,22,28.7,23.5,85.4,3.3,100,12.5,rain,0,0,18.4,29.5,262.8,1012.8,71.2,9.8,237.9,20.5,10,60,2023-10-14T06:07:42,2023-10-14T18:06:38,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-15,33.1,22.1,26.6,40.7,22.1,29,23.1,82.8,3.664,100,8.33,rain,0,0,22,7.6,207.1,1011.8,63.9,9.4,136.1,11.8,6,60,2023-10-15T06:07:39,2023-10-15T18:06:13,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-16,33.2,22,26.1,38.2,22,27.8,22.7,83.8,1.071,100,4.17,rain,0,0,29.5,22.3,195.8,1011.7,67,8.5,268.9,23,10,75,2023-10-16T06:07:36,2023-10-16T18:05:49,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-17,31.2,22.2,26.1,35.7,22.2,27.6,23.6,87.5,22.108,100,12.5,rain,0,0,23,11.2,260.3,1012.5,84.6,9.9,251.9,21.7,9,60,2023-10-17T06:07:34,2023-10-17T18:05:26,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-18,33.1,22.8,26.8,39.4,22.8,28.9,23.5,83.9,0.215,100,8.33,rain,0,0,14.4,11.2,206.4,1012.7,69.4,10.9,209.1,18,9,75,2023-10-18T06:07:33,2023-10-18T18:05:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-19,32.1,22.5,26.5,39.3,22.5,28.7,24.2,88.1,6.742,100,4.17,rain,0,0,18,11.2,293.8,1012.6,78.8,11.4,241.9,20.8,9,75,2023-10-19T06:07:32,2023-10-19T18:04:41,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-20,30.5,22.1,25.7,34.5,22.1,27.1,23.9,90.5,7.709,100,4.17,rain,0,0,15.8,14.8,270.9,1013,65.2,9.8,238.8,20.9,8,60,2023-10-20T06:07:31,2023-10-20T18:04:20,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-21,33.2,22,27.1,39.4,22,29.2,23.7,83.8,0.289,100,4.17,rain,0,0,22,14.8,230,1012.1,64.8,11,287.8,24.9,10,60,2023-10-21T06:07:31,2023-10-21T18:03:59,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-22,32.1,23.9,26.9,39.3,23.9,29.2,24.2,86.8,0,0,0,,0,0,18,11.2,247.9,1011.3,65.2,8.9,280,24.2,10,60,2023-10-22T06:07:32,2023-10-22T18:03:39,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,65563099999"
ivory coast,2023-10-23,33.1,22.7,26.2,40.7,22.7,28,23.5,86.3,1.618,100,4.17,rain,0,0,9.7,11.2,244.5,1011,68.9,12.6,267.7,23.2,10,60,2023-10-23T06:07:33,2023-10-23T18:03:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-24,30.1,22.7,25.5,36.3,22.7,26.7,23.8,91.1,20.889,100,4.17,rain,0,0,24.1,11.2,213.4,1011.2,83.4,9.8,199,17.1,9,60,2023-10-24T06:07:35,2023-10-24T18:03:02,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-25,32.7,22,26.9,38.4,22,28.9,23.7,84.4,0,0,0,,0,0,16.6,11.2,233.6,1010.9,56.5,13,248.1,21.6,10,60,2023-10-25T06:07:38,2023-10-25T18:02:44,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-10-26,33.4,22.6,26.8,39.4,22.6,28.7,23.7,85,0,0,0,,0,0,23,14.8,220.2,1011.5,71.9,9.6,285.9,24.6,10,60,2023-10-26T06:07:41,2023-10-26T18:02:28,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-10-27,32.4,22.5,26.7,38.7,22.5,29,23.9,85.8,0.007,100,4.17,rain,0,0,27.4,11.2,223.2,1011.3,55.7,11.3,273.5,23.7,9,60,2023-10-27T06:07:45,2023-10-27T18:02:12,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-28,33.1,23.1,26.8,38,23.1,28.5,23.2,82.9,0,0,0,rain,0,0,16.9,11.2,219.2,1010.4,47.1,8.9,283.7,24.4,10,30,2023-10-28T06:07:50,2023-10-28T18:01:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,65563099999"
ivory coast,2023-10-29,33.1,21,26,38.2,21,27.7,22.7,84.5,0,0,0,,0,0,11.9,11.2,219.6,1008.7,48.1,8.3,284.8,24.5,10,30,2023-10-29T06:07:55,2023-10-29T18:01:42,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-10-30,32.1,22.1,26.6,38,22.1,28.6,23.5,84.8,0.193,100,4.17,rain,0,0,20.9,21.8,237.5,1009,45.2,11.1,283.3,24.5,9,75,2023-10-30T06:08:01,2023-10-30T18:01:29,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-10-31,33.1,22.1,26.5,39.4,22.1,28.3,22.9,82.6,0.037,100,4.17,rain,0,0,38.9,11.2,205.7,1009.5,44.7,10,275.3,23.7,10,60,2023-10-31T06:08:08,2023-10-31T18:01:16,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,65563099999"
ivory coast,2023-11-01,32.1,23.7,27.1,38,23.7,29.4,24,84.5,0,0,0,rain,0,0,38.9,11.2,223.5,1011.2,62.3,8.6,276,23.8,9,60,2023-11-01T06:08:15,2023-11-01T18:01:05,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,65563099999"
ivory coast,2023-11-02,32.7,22.1,26.6,38,22.1,29,23.6,85.2,0.963,100,4.17,rain,0,0,14,11.2,216.4,1012,60.7,9.5,262.3,22.7,9,60,2023-11-02T06:08:24,2023-11-02T18:00:54,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-11-03,33.1,22.6,26.8,38.1,22.6,28.5,23.9,86,0,0,0,,0,0,24.1,14.8,224.5,1011,68.9,10.3,277.9,23.9,9,60,2023-11-03T06:08:32,2023-11-03T18:00:44,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,remote,65563099999"
ivory coast,2023-11-04,33.1,24.1,27.3,39.4,24.1,29.5,24.1,84.1,0,0,0,rain,0,0,18.7,11.2,234.3,1010.8,71,8.8,235,20.3,8,30,2023-11-04T06:08:42,2023-11-04T18:00:35,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65562099999,65563099999"
ivory coast,2023-11-05,32.1,21.8,26.3,38,21.8,28,23.5,86,0.018,100,4.17,rain,0,0,12.6,10.9,244.2,1010.9,61.1,9.4,279.9,24.2,9,60,2023-11-05T06:08:52,2023-11-05T18:00:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-11-06,33.1,22.9,26.3,39.4,22.9,27.9,23.4,85.6,0.1,100,4.17,rain,0,0,19.1,11.2,210.8,1011.5,50,9.3,265.9,23,9,75,2023-11-06T06:09:03,2023-11-06T18:00:20,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-11-07,33.1,22.1,26.6,40.7,22.1,28.9,23.4,84.3,0.885,100,4.17,rain,0,0,31,14.3,203.9,1011.2,62.1,10.9,248.6,21.3,9,60,2023-11-07T06:09:15,2023-11-07T18:00:14,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-11-08,33.4,21.1,25.6,39.6,21.1,26.9,22.9,87,12.488,100,8.33,rain,0,0,25.9,18.4,234.1,1010.7,50.5,10.2,212.6,18.4,9,30,2023-11-08T06:09:28,2023-11-08T18:00:09,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-11-09,30.1,22.1,25.3,35.2,22.1,26.5,23.2,89.1,14.447,100,4.17,rain,0,0,13.7,11.2,234.2,1011.6,69.7,16.1,141.1,12.3,6,60,2023-11-09T06:09:41,2023-11-09T18:00:05,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65562099999,remote,65563099999"
ivory coast,2023-11-10,33.1,23.1,26.9,39.4,23.1,29,23.8,84.9,0.1,100,4.17,rain,0,0,9,11.2,267.3,1011.9,55,9.5,192.5,16.7,9,75,2023-11-10T06:09:55,2023-11-10T18:00:02,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,65563099999"
ivory coast,2023-11-11,32.7,22.1,26.2,38,22.1,27.9,23.4,86.3,0.5,100,4.17,rain,0,0,15.8,14.8,223,1012.4,53.6,12.4,251.8,21.7,9,30,2023-11-11T06:10:10,2023-11-11T18:00:00,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,65563099999"
ivory coast,2023-11-12,33.1,23.1,26.6,39.4,23.1,28.4,23.5,84.4,0,0,0,rain,0,0,28.8,11.2,261.7,1012.2,65.8,9,273.5,23.6,9,60,2023-11-12T06:10:25,2023-11-12T17:59:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65563099999
ivory coast,2023-11-13,32.1,23.1,26.7,38,23.1,28.5,23.5,84.4,0,0,0,,0,0,18.7,11.2,237.1,1012.1,38.3,9.6,266.1,22.9,9,60,2023-11-13T06:10:42,2023-11-13T17:59:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,65563099999"
ivory coast,2023-11-14,33.1,23.1,26.1,39.4,23.1,27.9,23.4,86.6,0.2,100,4.17,rain,0,0,27.4,14.8,255.9,1011.5,54.1,9.8,270.6,23.3,9,60,2023-11-14T06:10:59,2023-11-14T17:59:59,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,65563099999"
ivory coast,2023-11-15,33.1,21.9,26.8,38.2,21.9,28.7,22.8,80.8,0,0,0,,0,0,13.7,11.2,252.2,1010.7,51.8,12.5,275.3,23.7,9,30,2023-11-15T06:11:16,2023-11-15T18:00:01,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,65563099999"
ivory coast,2023-11-16,33.1,22.1,26.3,38.2,22.1,28.1,23.1,84.3,0,0,0,,0,0,18.7,22.3,234,1011.2,57.5,10.5,272.1,23.6,9,30,2023-11-16T06:11:35,2023-11-16T18:00:04,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,65563099999"
